classic_false_reassurance_mean,engine_false_reassurance_mean,denom_only_false_reassurance_mean,coverage_engine_mean,convergence_mean_abs_diff,n_replications,topic_id,label,coverage_arb,coverage_delta,coverage_classic,regret_classic,regret_delta,regret_arb,contract_hash
0.0,0.0,0.15,1.0,0.030343075889802715,50,T01,Clean Control,1.0,1.0,1.0,0.6583333333333333,0.09166666666666666,0.1433333333333333,46165b2862665ba1
0.0,0.0,0.21499999999999997,1.0,0.06163035880008131,50,T02,Moderate Publication Bias,1.0,1.0,0.9981818181818182,0.5366666666666666,0.11999999999999998,0.21333333333333332,43a0c05682063d13
0.0,0.006666666666666666,0.13166666666666665,1.0,0.06519015059854162,50,T03,High Publication Bias,1.0,1.0,0.9938333333333332,0.465,0.15666666666666665,0.30499999999999994,2641d845421532f0
0.0016666666666666666,0.015,0.33666666666666667,1.0,0.03762993446831854,50,T04,Endpoint-Selective Reporting,1.0,1.0,0.9983333333333333,0.4933333333333334,0.135,0.3883333333333334,ac7cb6d1edebcde3
0.0,0.005,0.3,1.0,0.05550541500234053,50,T05,Industry-Dominated,1.0,1.0,0.9981818181818182,0.4233333333333333,0.11999999999999998,0.20833333333333331,04b1efdf00afcbdc
0.0,0.0,0.22666666666666668,1.0,0.10328281625518837,50,T06,Small Trials,1.0,1.0,1.0,0.5533333333333333,0.145,0.27166666666666667,ccf15951d02839ab
0.003333333333333333,0.005,0.2816666666666666,1.0,0.0621881141721729,50,T07,High Heterogeneity,1.0,1.0,0.9785757575757574,0.37333333333333335,0.12333333333333334,0.23499999999999996,9a9e9f98a078ce4b
0.0,0.003333333333333333,0.145,1.0,0.038836156510217566,50,T08,Reversal Stress,1.0,1.0,0.992848484848485,0.185,0.07833333333333334,0.14333333333333334,1c3398e8c4c17240
0.003333333333333333,0.0016666666666666666,0.39,1.0,0.0509246627801502,50,T09,Discontinuous Truth,1.0,1.0,0.9961818181818183,0.26166666666666666,0.07333333333333333,0.14666666666666667,da4af1bc20bc4138
0.0016666666666666666,0.0016666666666666666,0.3066666666666667,1.0,0.03976572415060095,50,T10,Low Trial Count,1.0,1.0,0.9977777777777778,0.405,0.07666666666666665,0.125,8a2ec377a081ebe7
0.0,0.0,0.026666666666666665,1.0,0.043929176087390796,50,T11,Strong Benefit Signal,1.0,1.0,1.0,0.43500000000000005,0.026666666666666665,0.2133333333333333,48dc1a45fccf7f93
0.0,0.0016666666666666666,0.37499999999999994,1.0,0.06013200666604948,50,T12,Near-Null Effect,1.0,1.0,1.0,0.35166666666666674,0.12333333333333332,0.18333333333333335,d55d9e96a724ab31
